name,review_count,rating,distance,price,latitude,longitude
Sin & Redemption,204.0,3.5,396.2156110627048,$$,43.657763,-79.389165
Rex's,12.0,3.5,436.68510932206993,$$,43.657763,-79.389165
Yonge Street Warehouse,114.0,2.5,605.225360880841,$,43.657763,-79.389165
Duke Of Cornwall,24.0,3.5,481.32080943793846,$$,43.657763,-79.389165
Hair of the Dog,369.0,4.0,961.8601290329066,$$,43.657763,-79.389165
Village Genius Pub & Grill,133.0,3.0,418.21246640203947,$$,43.657763,-79.389165
Imperial Pub,157.0,3.5,845.1669831422234,$$,43.657763,-79.389165
11:59 Bar:Café,4.0,4.0,993.9517072295326,,43.657763,-79.389165
Beerbistro,681.0,4.0,1335.011555737512,$$,43.657763,-79.389165
43 Down,1.0,5.0,836.5063220334986,,43.657763,-79.389165
Hendriks Restaurant & Bar,116.0,4.0,873.244328608829,$$$,43.657763,-79.389165
Drake Mini Bar,11.0,4.0,975.9028373897565,,43.657763,-79.389165
Pogue Mahone Pub & Kitchen,143.0,2.5,486.98426846158293,$$,43.657763,-79.389165
The 3 Brewers,299.0,3.0,744.5625194713938,$$,43.657763,-79.389165
Upper Deck By Fran's,47.0,3.0,581.3232415031334,$$,43.657763,-79.389165
Mick E Fynn's,52.0,2.5,797.2856227554304,$$,43.657763,-79.389165
KINKA IZAKAYA ORIGINAL,1814.0,4.0,877.1467901560992,$$,43.657763,-79.389165
Queen St Warehouse,422.0,3.0,831.5423257414885,$,43.657763,-79.389165
CKTL,5.0,4.0,1076.3524045039717,,43.657763,-79.389165
Cactus Club Cafe,603.0,4.0,1062.690683759315,$$,43.657763,-79.389165
Ration Beverley,15.0,4.5,954.7136971778594,,43.657763,-79.389165
Buddies In Bad Times Theatre,23.0,4.0,802.352256792264,$,43.657763,-79.389165
Storm Crow Manor,147.0,4.0,1168.113335853411,$$,43.657763,-79.389165
Teller's Bar and Lounge,5.0,4.5,1329.1207070043306,$$,43.657763,-79.389165
The Smith House,1.0,5.0,394.89635009806784,,43.657763,-79.389165
W Burger Bar,307.0,3.5,605.4037614192259,$$,43.657763,-79.389165
JOEY Eaton Centre,538.0,3.5,612.9127207570077,$$,43.657763,-79.389165
The Blake House,162.0,4.0,1221.9420632846627,$$,43.657763,-79.389165
The Oud & The Fuzz,8.0,4.0,999.9424399604112,,43.657763,-79.389165
Alobar Downtown,4.0,4.5,975.89550624128,,43.657763,-79.389165
The Senator,492.0,4.0,848.478484798068,$$,43.657763,-79.389165
CRAFT Beer Market,185.0,3.5,1228.1581183053397,$$,43.657763,-79.389165
Woody's,69.0,3.5,1034.493326802905,$$,43.657763,-79.389165
Bar Hop,120.0,3.5,1023.6753663426931,$$,43.657763,-79.389165
The Red Room,148.0,2.5,887.1740057482207,$,43.657763,-79.389165
Hoops Sports Bar & Grill,4.0,3.0,639.3897523305283,,43.657763,-79.389165
LOUIX LOUIS,126.0,3.5,1127.6294038632163,$$$,43.657763,-79.389165
ARA Japanese Restaurant,20.0,4.0,826.9694550222625,,43.657763,-79.389165
St Louis Bar and Grill,7.0,3.5,317.20193642712053,,43.657763,-79.389165
No 10 Dean,3.0,5.0,911.5517668469648,,43.657763,-79.389165
Firkin on Yonge,112.0,3.0,897.8855705874035,$$,43.657763,-79.389165
Lola,10.0,3.0,1027.6901897992166,$,43.657763,-79.389165
Grossman's Tavern,35.0,3.5,814.243264198927,$,43.657763,-79.389165
The Queen And Beaver Public House,414.0,4.0,82.12766739073525,$$,43.656729,-79.382736
Yonge Street Warehouse,114.0,2.5,126.49169146614828,$,43.656729,-79.382736
After Seven,33.0,4.5,838.822826101531,,43.656729,-79.382736
Imperial Pub,157.0,3.5,315.960103619028,$$,43.656729,-79.382736
Bar+ Karaoke Lounge,120.0,4.0,185.02340775028702,$$,43.656729,-79.382736
11:59 Bar:Café,4.0,4.0,696.8346298773292,,43.656729,-79.382736
Rex's,12.0,3.5,93.66987804832026,$$,43.656729,-79.382736
Hendriks Restaurant & Bar,116.0,4.0,419.04646196599293,$$$,43.656729,-79.382736
Page One,90.0,4.0,536.2289948055358,$$,43.656729,-79.382736
Horangee Sikdang,42.0,4.5,431.1258446275561,,43.656729,-79.382736
Hair of the Dog,369.0,4.0,736.1730812432008,$$,43.656729,-79.382736
Bar Volo,28.0,4.5,1007.8164342775856,,43.656729,-79.382736
The 3 Brewers,299.0,3.0,228.0878854117417,$$,43.656729,-79.382736
CKTL,5.0,4.0,759.1973792978919,,43.656729,-79.382736
Beerbistro,681.0,4.0,923.3514068141624,$$,43.656729,-79.382736
Drake Mini Bar,11.0,4.0,805.9184253747461,,43.656729,-79.382736
The Carbon Bar,419.0,4.0,751.6492805385562,$$$,43.656729,-79.382736
JOEY Eaton Centre,538.0,3.5,111.90706057052137,$$,43.656729,-79.382736
KINKA IZAKAYA ORIGINAL,1814.0,4.0,513.829541801903,$$,43.656729,-79.382736
43 Down,1.0,5.0,629.4416262689806,,43.656729,-79.382736
CC Lounge & Whisky Bar,107.0,4.0,1207.3420555442874,$$,43.656729,-79.382736
Cactus Club Cafe,603.0,4.0,803.550734362122,$$,43.656729,-79.382736
