uid,station,latitude,longitude,slots,free_bikes,ll
7659,Amroth Ave / Danforth Ave,43.6856128,-79.31168269999999,19,4,"43.6856128,-79.31168269999999"
7133,Summerhill Station,43.681944,-79.390556,11,0,"43.681944,-79.390556"
7046,Niagara St / Richmond St W,43.64534,-79.409597,26,4,"43.64534,-79.409597"
7662,85 Beaty Avenue,43.6393107,-79.4408141,19,14,"43.6393107,-79.4408141"
7068,163 Fallingbrook Rd,43.68306889999999,-79.279682,23,5,"43.68306889999999,-79.279682"
7258,Queen St E / Rushbrooke Ave,43.6626628,-79.3323698,15,6,"43.6626628,-79.3323698"
7091,Donlands Station,43.681114,-79.3373885,15,1,"43.681114,-79.3373885"
7523,Lynn Williams St / East Liberty St,43.638925,-79.4168659,15,5,"43.638925,-79.4168659"
7487,Eastwood Rd / Woodbine Ave,43.676216,-79.309395,14,6,"43.676216,-79.309395"
7406,Victoria St / Queen St E,43.652822,-79.378208,23,20,"43.652822,-79.378208"
7660,26 Dundas Street East,43.656633,-79.379625,39,28,"43.656633,-79.379625"
7504,Gerrard St E / Victoria Park Ave,43.686962,-79.286864,16,2,"43.686962,-79.286864"
7663,98 Glenvale Boulevard,43.718039,-79.371914,17,1,"43.718039,-79.371914"
7127,Bay St / Scollard St,43.672152,-79.39018,15,8,"43.672152,-79.39018"
7566,Weston Rd / St Clair Ave W,43.673019,-79.467994,19,15,"43.673019,-79.467994"
7664,60 Raab Blvd,43.72268,-79.37644,15,10,"43.72268,-79.37644"
7666,505 College Street,43.6504218,-79.4407647,26,0,"43.6504218,-79.4407647"
7642,1451 Yonge Street,43.68850459999999,-79.3940052,19,0,"43.68850459999999,-79.3940052"
7416,Spadina Ave / Blue Jays Way,43.641705,-79.393295,31,28,"43.641705,-79.393295"
7636,2511 bloor st w,43.647663,-79.487583,23,3,"43.647663,-79.487583"
7665,Test,43.720998,-79.377456,11,2,"43.720998,-79.377456"
7670,3180 Yonge Street,43.72814640000001,-79.4032194,12,7,"43.72814640000001,-79.4032194"
7039,Simcoe St / Michael Sweet Ave,43.652327224103,-79.3882538196087,19,10,"43.652327224103,-79.3882538196087"
7197,Queen St W / Dovercourt Rd,43.6438602,-79.4227573,11,0,"43.6438602,-79.4227573"
7658,2639 Bloor St W,43.64920406876699,-79.49336334201408,27,18,"43.64920406876699,-79.49336334201408"
7646,225 University Avenue,43.6503935,-79.3860211,35,21,"43.6503935,-79.3860211"
7639,135 Queens Warf,43.6399714,-79.39940399999999,16,4,"43.6399714,-79.39940399999999"
7519,"406 Oakwood Ave, York, ON M6E 2W3",43.68827060022711,-79.43937767081853,19,1,"43.68827060022711,-79.43937767081853"
7292,Granby St / Church St -SMART,43.6614605,-79.37894570000002,24,0,"43.6614605,-79.37894570000002"
7605,Lumsden Ave / Eastdale Ave,43.69413548199171,-79.30058718775287,20,9,"43.69413548199171,-79.30058718775287"
7625,24 Lawrence Ave East,43.7254665,-79.40115449999999,23,2,"43.7254665,-79.40115449999999"
7381,Roehampton Ave / Yonge St,43.7083577,-79.39886200000001,35,16,"43.7083577,-79.39886200000001"
7135,Hanna Ave / Liberty St,43.63840090000001,-79.4197107,17,10,"43.63840090000001,-79.4197107"
7096,425 Don Mills Rd,43.7027268,-79.33368089999999,19,16,"43.7027268,-79.33368089999999"
7604,St Columba Pl / St Clair Ave E,43.70567,-79.310554,18,6,"43.70567,-79.310554"
7172,Strachan Ave / Princes' Blvd,43.635,-79.4088888888889,19,15,"43.635,-79.4088888888889"
7104,King St E / River St,43.656784782853144,-79.35627385059036,15,0,"43.656784782853144,-79.35627385059036"
7597,Yonge St / Golfdale Rd,43.732016,-79.403637,15,4,"43.732016,-79.403637"
7648,909 Yonge St,43.67515255542865,-79.38849615969643,14,10,"43.67515255542865,-79.38849615969643"
7117,640 Bloor Street East,43.67468857448634,-79.36701962396272,19,7,"43.67468857448634,-79.36701962396272"
7676,"1 Chedington Pl, North York, ON M4N 3R4",43.727365488246306,-79.3814254607724,16,4,"43.727365488246306,-79.3814254607724"
7677,1303 YONGE Street,43.6846177,-79.39245919999999,16,0,"43.6846177,-79.39245919999999"
7678,York University Station - SMART,43.77345,-79.5002,16,6,"43.77345,-79.5002"
7429,Woodbine Subway Station - SMART,43.686442,-79.313404,15,2,"43.686442,-79.313404"
7667,698 Spadina Avenue,43.66402799999999,-79.40297869999999,35,11,"43.66402799999999,-79.40297869999999"
7022,Simcoe St / Queen St W,43.65049,-79.3873,39,21,"43.65049,-79.3873"
7682,Bathurst St / Front St W,43.64134790000001,-79.4013882,27,2,"43.64134790000001,-79.4013882"
7684,Bay St / Harbour St (East),43.64215,-79.377,23,21,"43.64215,-79.377"
7322,E Liberty St / Western Battery Rd,43.6392777,-79.4115736,18,3,"43.6392777,-79.4115736"
7685,522 King Street West,43.645102,-79.39744979999999,22,10,"43.645102,-79.39744979999999"
7687,"1101 Bloor Street West, Toronto",43.6602021,-79.4342726,10,0,"43.6602021,-79.4342726"
7688,200 Parkside Drive,43.644887,-79.45641169999999,15,11,"43.644887,-79.45641169999999"
7689,26 Lipton Avenue,43.680012,-79.34403250000001,26,10,"43.680012,-79.34403250000001"
7211,Fort York Blvd / Garrison Rd,43.637381,-79.406112,15,1,"43.637381,-79.406112"
7533,Housey St / Dan Leckie Way,43.63811,-79.397877,27,21,"43.63811,-79.397877"
7675,1529 Dundas Street West,43.64957,-79.432446,15,1,"43.64957,-79.432446"
7692,85 Lee Ave,43.6700692,-79.2971326,26,16,"43.6700692,-79.2971326"
7693,78 Mutual Street - SMART Vault,43.6559476,-79.37558829999999,19,1,"43.6559476,-79.37558829999999"
7695,Queen St E and Joseph Duggan Rd - SMART Vault,43.6677628,-79.30811709999999,18,8,"43.6677628,-79.30811709999999"
7696,Heyworth Cres / Kingston Rd - SMART Vault,43.6750806,-79.3068697,19,5,"43.6750806,-79.3068697"
7698,St Clair Ave W / Caledonia Rd - SMART Vault,43.6754247,-79.4547813,13,1,"43.6754247,-79.4547813"
7216,Wellington St W / Stafford St,43.6409957,-79.40966630000001,23,3,"43.6409957,-79.40966630000001"
7702,111 Broadview Ave,43.6593483,-79.34993659999999,18,3,"43.6593483,-79.34993659999999"
7691,Christie St / Dupont St,43.67168,-79.421192,19,0,"43.67168,-79.421192"
