station,latitude,longitude,slots,free_bikes,ll
Danforth Ave / Lamb Ave,43.681991,-79.329455,19,10,"43.681991,-79.329455"
King St W / Stafford St,43.6422222,-79.41111111111111,15,11,"43.6422222,-79.41111111111111"
Bathurst St / Lennox St,43.663808,-79.410491,19,8,"43.663808,-79.410491"
Bathurst Subway Station,43.6666667,-79.41166666666668,23,10,"43.6666667,-79.41166666666668"
Bloor St W / Christie St,43.6638889,-79.41888888888889,19,10,"43.6638889,-79.41888888888889"
Ossington Ave / Bloor St W,43.661705,-79.425734,11,4,"43.661705,-79.425734"
Essex St / Christie St,43.6686111,-79.42027777777778,19,2,"43.6686111,-79.42027777777778"
Westmoreland Ave / Fernbank Ave,43.665327,-79.43235,19,7,"43.665327,-79.43235"
Havelock St / Dufferin Park,43.657343,-79.43112,19,4,"43.657343,-79.43112"
Bathurst St / Adelaide St W,43.645324,-79.40345,25,16,"43.645324,-79.40345"
Mill St / Parliament St,43.650256,-79.36163,15,12,"43.650256,-79.36163"
Ossington Ave / Harrison St,43.651111111111106,-79.4213888888889,19,16,"43.651111111111106,-79.4213888888889"
80 Clinton St (North of College),43.656296,-79.414663,15,6,"43.656296,-79.414663"
Claremont St / Dundas St W,43.651281,-79.411717,13,9,"43.651281,-79.411717"
Rusholme Park Cres / College St,43.65277778,-79.42972222,15,1,"43.65277778,-79.42972222"
College St / Crawford St,43.655,-79.418889,19,16,"43.655,-79.418889"
Gerrard Square Mall (1010 Gerrard St E),43.668553,-79.338673,19,17,"43.668553,-79.338673"
Queen St E / Alton Av,43.663912,-79.327987,19,7,"43.663912,-79.327987"
Simcoe St / Wellington St 2,43.6462176,-79.3855048,15,3,"43.6462176,-79.3855048"
Coxwell Ave / Plains Rd,43.69595,-79.328535,19,10,"43.69595,-79.328535"
Carlaw Ave / Strathcona Ave,43.6753188,-79.3462789,15,3,"43.6753188,-79.3462789"
Logan Ave / Bain Ave,43.6720273,-79.3470557,11,9,"43.6720273,-79.3470557"
Liberty St / Fraser Ave Green P,43.637981,-79.424146,19,8,"43.637981,-79.424146"
King St W / Douro St,43.640885,-79.416379,11,6,"43.640885,-79.416379"
Queen St E / Berkeley St,43.6552778,-79.36583333333333,15,9,"43.6552778,-79.36583333333333"
Howard St / Sherbourne St,43.6712581,-79.376367,15,6,"43.6712581,-79.376367"
