station,latitude,longitude,slots,free_bikes,ll
Nassau St / Bellvue Ave,43.65484215542248,-79.40351232494366,15,8,"43.65484215542248,-79.40351232494366"
Huron/ Harbord St,43.6637,-79.400053,19,7,"43.6637,-79.400053"
Ward Ave / Wallace Ave,43.662857,-79.44618,15,7,"43.662857,-79.44618"
Starspray Ave / Lawrence Ave E,43.788319,-79.123505,19,3,"43.788319,-79.123505"
The Well,43.643025055165865,-79.39430137761319,19,12,"43.643025055165865,-79.39430137761319"
60 Carl Hall Rd,43.7482972,-79.47570569999999,20,3,"43.7482972,-79.47570569999999"
375 Queens Quay West,43.63737145931921,-79.38976958703309,31,11,"43.63737145931921,-79.38976958703309"
60 George Butchart Dr,43.73673829262113,-79.48227195568086,20,7,"43.73673829262113,-79.48227195568086"
25 Vitti St,43.753107,-79.479626,20,1,"43.753107,-79.479626"
2 John Drury Dr,43.7494501,-79.4869662,16,4,"43.7494501,-79.4869662"
Exhibition GO (Atlantic Ave),43.637695491830144,-79.42023184193503,15,1,"43.637695491830144,-79.42023184193503"
Queens Quay E / Lower Jarvis St ,43.64392767366328,-79.3687301736982,22,18,"43.64392767366328,-79.3687301736982"
Phoebe St / Spadina Ave,43.650033,-79.396555,32,1,"43.650033,-79.396555"
Lynn William St / Pirandello St ,43.639124514797004,-79.41423166721611,17,12,"43.639124514797004,-79.41423166721611"
Bay St / Queens Quay W (Ferry Terminal),43.640978,-79.376785,35,7,"43.640978,-79.376785"
College St / Huron St,43.658148,-79.398167,19,6,"43.658148,-79.398167"
Northern Dancer Blvd / Lake Shore Blvd E,43.663162,-79.309765,27,15,"43.663162,-79.309765"
Spadina Rd / Austin Terrace,43.67883,-79.408723,17,9,"43.67883,-79.408723"
York St / Queens Quay W,43.640132,-79.380464,57,6,"43.640132,-79.380464"
Front St W / University Ave (1),43.6451635,-79.3831757,19,2,"43.6451635,-79.3831757"
9 Willingdon Blvd,43.64817,-79.510392,15,3,"43.64817,-79.510392"
Wallace Ave / Symington Ave,43.661324,-79.449534,12,10,"43.661324,-79.449534"
Yonge / Wellesley,43.66496415990742,-79.38355031526893,23,12,"43.66496415990742,-79.38355031526893"
York St / Harbour St (Love Park),43.640741,-79.3798521,15,5,"43.640741,-79.3798521"
Sherbourne St / Carlton St (Allan Gardens),43.663102,-79.373181,17,7,"43.663102,-79.373181"
Ontario Place Blvd / Lake Shore Blvd W,43.6322445,-79.4108105,27,7,"43.6322445,-79.4108105"
Simcoe St / Dundas St W,43.655103,-79.389295,20,11,"43.655103,-79.389295"
College St / Markham St,43.6563888888889,-79.4091666666667,19,4,"43.6563888888889,-79.4091666666667"
Dundas St W / Crawford St,43.649722,-79.416944,23,18,"43.649722,-79.416944"
Sunnyside - Gus Ryder Pool,43.637894,-79.454823,27,19,"43.637894,-79.454823"
High Park - West Rd,43.6525077,-79.4654233,23,2,"43.6525077,-79.4654233"
Bloor St W / High Park Ave (High Park),43.6535269,-79.4650569,23,5,"43.6535269,-79.4650569"
Front St E / Cherry St,43.652686,-79.358395,15,13,"43.652686,-79.358395"
Barbara Hall Park,43.666850777484896,-79.38114574756837,12,10,"43.666850777484896,-79.38114574756837"
Dundas St E / River St,43.661152,-79.358505,19,11,"43.661152,-79.358505"
Shuter St / River St,43.659296,-79.358035,15,5,"43.659296,-79.358035"
Madison Ave / Bloor St W,43.667158,-79.402761,15,5,"43.667158,-79.402761"
Danforth Ave / Danforth Rd,43.69362206784152,-79.27710529695892,15,3,"43.69362206784152,-79.27710529695892"
Brimley Rd / McCowan District Park,43.72704086366749,-79.24391402446746,19,3,"43.72704086366749,-79.24391402446746"
Ossington Ave / Bruce St,43.64570236705167,-79.41933192053696,14,14,"43.64570236705167,-79.41933192053696"
1430 King St W,43.63735795888104,-79.43617975886079,12,6,"43.63735795888104,-79.43617975886079"
39-45 Parkcrest Dr,43.73596719224253,-79.21995221481933,15,2,"43.73596719224253,-79.21995221481933"
"45 Fairfax Crescent, Toronto, ON, M1L 1Z6",43.7154661,-79.2876595,19,5,"43.7154661,-79.2876595"
75 Lansdowne Ave,43.642904395956684,-79.43746059447746,14,4,"43.642904395956684,-79.43746059447746"
438 Danforth Rd,43.70688,-79.26850999999999,15,10,"43.70688,-79.26850999999999"
125 Pharmacy Ave,43.697356080874876,-79.28528711019696,19,11,"43.697356080874876,-79.28528711019696"
25 Montgomery Ave,43.70960859570095,-79.39915125005619,12,0,"43.70960859570095,-79.39915125005619"
552 Birchmount Rs,43.71176278859601,-79.27028152889692,15,10,"43.71176278859601,-79.27028152889692"
Highfield Rd / Gerrard St E,43.671771,-79.324961,19,17,"43.671771,-79.324961"
Eastgate Ct / Pharmacy Ave ,43.7110442448186,-79.29127313845584,15,7,"43.7110442448186,-79.29127313845584"
Firvalley Ct / Warden Ave,43.7032112,-79.2787149,19,8,"43.7032112,-79.2787149"
425 Midland Ave,43.7128578,-79.2487086,19,0,"43.7128578,-79.2487086"
10 Bellamy Rd S,43.7323277855009,-79.22496619876934,19,11,"43.7323277855009,-79.22496619876934"
13 Avenue Rd,43.669821695059376,-79.39444614603269,15,12,"43.669821695059376,-79.39444614603269"
High Park Amphitheatre,43.645653,-79.464366,23,22,"43.645653,-79.464366"
High Park Outdoor Pool,43.649217,-79.465319,27,14,"43.649217,-79.465319"
Fenwood Ht / Kingston Rd,43.72690169821676,-79.22920396582664,15,5,"43.72690169821676,-79.22920396582664"
Avenue Rd / Macpherson Ave ,43.67794376009951,-79.39836278587889,14,3,"43.67794376009951,-79.39836278587889"
PRINCES' BLVD / NOVA SCOTIA AVE,43.634565,-79.409161,15,6,"43.634565,-79.409161"
Queen St W / Gladstone Ave,43.64309687937765,-79.42875613770637,15,15,"43.64309687937765,-79.42875613770637"
Bay St / Dundas St W,43.655350778457056,-79.38345966759798,26,19,"43.655350778457056,-79.38345966759798"
Shaw St / King St W,43.6412561641921,-79.41502994047545,15,13,"43.6412561641921,-79.41502994047545"
Queen St W / Portland St,43.6476,-79.4015,15,3,"43.6476,-79.4015"
1835 Yonge St. ,43.6962750705313,-79.39629396191867,23,10,"43.6962750705313,-79.39629396191867"
3 Soudan Ave,43.70430959999999,-79.3972815,19,1,"43.70430959999999,-79.3972815"
755 Avenue Rd,43.69711160305226,-79.40537298227844,15,1,"43.69711160305226,-79.40537298227844"
1612 Danforth Ave ,43.68370788065334,-79.32262453633884,15,15,"43.68370788065334,-79.32262453633884"
